Date,City,State,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc
10/14/93,Detroit,Michigan,urban,HS,1,,,Pah,
11/1/93,Chicago,Illinois,urban,HS,1,,,Pah,
11/4/93,Jacksonville,Florida,urban,HS,1,,,Pah,
11/4/93,New Britain,Connecticut,urban,HS,1,,TRUE,Pah,
11/4/93,New Britain,Connecticut,,HS,1,0,,Wikp,"18-year-old Miguel DeJesus, was gunned down on the steps of New Britain High School.[262]Rival gang members, 24-year-old Maurice Flanagan and 23-year-old Thomas Mejia, were charged.[263]"
11/5/93,Bay Springs,Mississippi,rural,HS,1,,,Pah,
11/29/93,Kansas City,Missouri,urban,HS,1,,,Pah,
12/1/93,Wauwatosa,Wisconsin,suburban,HS,1,,TRUE,Pah,
12/1/93,Wauwatosa,Wisconsin,,HS,1,0,,Wikp,"Wauwatosa West High School shooting: 21-year-old former student, Leonard D. McDowell, shot 46-year-old associate principal, Dale Breitlow, three times with a revolver in a second-floor hallway of Wauwatosa West High School.[264] McDowell was found guilty of the murder and sane at the time of the shooting, he was sentenced to life in prison.[235] His sentence was upheld by the state Court of Appeals in April 1997.[265]"
12/8/93,Savannah,Georgia,urban,HS,1,,,Pah,
12/17/93,Chelsea,Michigan,suburban,HS,1,,,Pah,
1/20/94,Kennard,Texas,rural,HS,0,,,Pah,
1/20/94,Hacienda Heights,California,urban,HS,1,,,Pah,
1/24/94,Columbia,South Carolina,,HS,1,0,,Wikp,"18-year-old Floyd Eugene Brown, shot fellow Eau Claire High School student, 17-year-old Earnest Dunlap, following an argument the week before. Brown was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting.[266]"
1/26/94,Columbia,South Carolina,urban,HS,1,,,Pah,
1/31/94,Seattle,Washington,urban,MS,1,,TRUE,Pah,
1/31/94,Seattle,Washington,,MS,1,0,,Wikp,"24-year-old Darrell Cloud, a former student at Whitman Middle School in North Seattle, killed 45-year-old Neal Summers, who had sexually abused Cloud since he was thirteen. Cloud served nine years in prison. He later received a $250,000 settlement in a civil suit against Seattle Schools, charging that Summers had not been adequately supervised.[267]"
2/8/94,Detroit,Michigan,urban,HS,1,,,Pah,
2/14/94,Belmont,California,suburban,HS,1,,,Pah,
2/18/94,Spartanburg,South Carolina,,HS,0,1,,Wikp,"At around 10 p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game at Spartanburg High School.[268]"
3/1/94,Boonville,Missouri,suburban,C,2,,TRUE,Pah,
3/1/94,Boonville,Missouri,,HS,2,0,,Wikp,"33-year-old Dante D. Hayes, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall of Kemper Military School and College. He was drunk and looking for his wife Anna Hayes with whom he had a fight the night before. No students were harmed.[269]"
3/15/94,Charleston,South Carolina,urban,HS,1,,,Pah,
3/22/94,Riveria Beach,Florida,urban,MS,0,,,Pah,
3/23/94,Seattle,Washington,urban,HS,1,,,Pah,
3/25/94,Woodstock,Georgia,suburban,HS,0,,,Pah,
4/12/94,Butte,Montana,suburban,ES,1,,TRUE,Pah,
4/12/94,Butte,Montana,,ES,1,0,,Wikp,"10-year-old Jason Osmanson, teased because his parents have AIDS, killed an 11-year-old student on the playground of Margaret Leary Elementary School. Osmanson was sent to a private residential treatment center.[235][259]"
4/13/94,Los Angeles,California,urban,ES,0,,,Pah,
4/21/94,Nashville,Tennessee,urban,MS,1,,TRUE,Pah,
4/21/94,Nashville,Tennessee,,MS,1,0,,Wikp,"14-year-old Jeremy Bryant, killed 13-year-old Terrence Murray, in music class at J.T. Moore Middle School.[270]"
5/2/94,North Miami,Florida,suburban,HS,1,,,Pah,
5/25/94,Union,Kentucky,suburban,HS,4,,,Pah,
7/25/94,Ottumwa,Iowa,suburban,HS,1,,,Pah,
9/7/94,Hollywood,California,urban,HS,1,,,Pah,
10/12/94,Greensboro,North Carolina,urban,HS,1,,TRUE,Pah,
10/12/94,Greensboro,North Carolina,,HS,1,1,,Wikp,"After being suspended for smoking, 16-year-old Nicholas Atkinson, returned to Grimsley High School with a 9 mm pistol. After wounding assistant principal, Bill Whites, Atkinson took his own life.[180][271][272]"
10/17/94,Chicago,Illinois,,HS,0,1,,Wikp,"A 16-year-old female student was shot in the thigh outside Hubbard High School when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood.[273]"
11/5/94,San Leandro,California,urban,ES,1,,,Pah,
11/7/94,Wickliffe,Ohio,suburban,MS,1,,TRUE,Pah,
11/7/94,Wickliffe,Ohio,,MS,1,4,,Wikp,"Wickliffe Middle School shooting: 37-year-old former student, Keith A. Ledeger, killed 41-year-old custodian, Pete Christopher, at Wickliffe Middle School, and wounded 47-year-old assistant principal, Jim Anderson, 47-year-old police officer, Thomas Schmidt, and 50-year-old teacher, Lowell Grimm, before being injured and taken into custody.[235][259][274]"
11/15/94,Tacoma,Washington,urban,HS,1,,,Pah,
12/14/94,Albany,New York,,C,0,1,,Wikp,"Ralph J. Tortorici, 26, a military veteran and psychology major at the State University of New York at Albany held hostage a large lecture hall from 9:10 a.m. until 11:30 a.m. Tortorici, armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when Tortorici had his gun taken away by Jason McEnaney, a 19-year-old student. McEnaney was shot in the leg, groin, and abdomen in the exchange. Tortorici suffered from a well-document history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center, and ultimately committed suicide in 1999 in prison while serving a 15 1/2 year sentence.[275][276][277][278]"
1/5/95,Washington DC,District of Columbia,urban,HS,1,,,Pah,
1/10/95,Palm Beach Gardens,Florida,suburban,HS,0,,,Pah,
1/12/95,Seattle,Washington,urban,HS,0,,TRUE,Pah,
1/12/95,Seattle,Washington,,HS,0,2,,Wikp,A 15-year-old student at Garfield High School left school during the day and returned with his grandfather's handgun. He wounded two students.[279]
1/23/95,Redlands,California,urban,MS,1,,,Pah,
1/26/95,Chapel Hill,North Carolina,urban,C,2,,,Pah,
2/2/95,Long Beach,California,urban,HS,1,,,Pah,
8/29/95,Laredo,Texas,urban,MS,1,,,Pah,
9/12/95,Memphis,Tennessee,urban,HS,1,,,Pah,
9/14/95,Olathe,Kansas,urban,HS,2,,,Pah,
9/29/95,Tavares,Florida,urban,MS,1,,TRUE,Pah,
9/29/95,Tavares,Florida,,MS,1,0,,Wikp,"14-year-old student Keith E. Johnson, killed 13-year-old Joey Summerall, at Tavares Middle School with a handgun that he had stolen from his neighbor's home. He was convicted and sentenced to life in prison without the possibility of parole.[280]"
10/12/95,Blackville,South Carolina,rural,HS,1,,TRUE,Pah,
10/12/95,Blackville,South Carolina,,HS,2,1,,Wikp,"Blackville-Hilda High School shooting: Suspended student, 16-year-old Toby R. Sincino, killed 56-year-old math teacher, Phyllis Senn, and wounded 38-year-old math teacher, Johhnny Thompson, before committing suicide at Blackville-Hilda High School.[235][259][281][282]"
11/15/95,Lynnville,Tennessee,rural,HS,2,,TRUE,Pah,
11/15/95,Lynnville,Tennessee,,HS,2,1,,Wikp,"Richland High School shooting: 17-year-old James Rouse, killed a student and teacher at Richland High School and seriously wounded another teacher with a rifle.[235][281][283]"
11/28/95,queens,New York,urban,HS,1,,,Pah,
1/19/96,District of Columbia,District of Columbia,urban,MS,1,,,Pah,
1/19/96,Washington,D.C.,,HS,1,0,,Wikp,"Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. 16-year-old shooter, Darrick Evans, was sentenced to 41 years to life in prison.[235]"
1/26/96,memphis,Tennessee,urban,HS,1,,,Pah,
2/2/96,Moses Lake,Washington,suburban,MS,3,,TRUE,Pah,
2/2/96,Moses Lake,Washington,,MS,3,1,,Wikp,"Frontier Middle School shooting: 14-year-old Barry Loukaitis, killed a teacher and two students and wounded another student when he opened fire on his algebra class. Loukaitis was sentenced to life in prison.[283][284]"
2/8/96,Palo Alto,California,urban,HS,1,,,Pah,
2/29/96,St. Louis,Missouri,,HS,1,1,,Wikp,"30-year-old Mark Boyd, hired 23-year-old Malik Nettles, to kill 15-year-old Kyunia Taylor, as she rode on a school bus bound for Beaumont High School. Taylor was pregnant with a child fathered by Boyd, a baby girl was delivered by emergency caesarean section, but died 23 days later. The bus driver was also shot, he survived.[285]"
3/11/96,New London,North Carolina,rural,HS,1,,,Pah,
4/11/96,Talledega,Alabama,suburban,HS,1,,,Pah,
6/4/96,Hemet,California,urban,HS,1,,,Pah,
8/15/96,San Diego,California,urban,C,3,,TRUE,Pah,
8/15/96,San Diego,California,,C,3,0,,Wikp,"San Diego State University shooting: At San Diego State University, 36-year-old graduate student, Frederick Martin Davidson, killed three professors, 32-year-old Chen Liang, 44-year-old D. Preston Lowrey III, and 36-year-old Costas Lyrintzis, that he believed were involved in a conspiracy against him.[283][286][287] Davidson was sentenced to serve three life terms.[288]"
8/26/96,San Antonio,Texas,urban,C,1,,,Pah,
9/17/96,State College,Pennsylvania,urban,C,1,,TRUE,Pah,
9/17/96,State College,Pennsylvania,,C,1,2,,Wikp,"19-year-old Jillian Robbins, killed one student and injured two outside Pennsylvania State University's HUB–Robeson Center.[283][289][290]"
9/25/96,Scottdale,Georgia,suburban,HS,1,,TRUE,Pah,
9/25/96,Decatur,Georgia,,HS,1,2,,Wikp,"16-year-old David Dubose Jr., killed English teacher, Horace Morgan, on the steps of Dekalb Alternative School. Dubose was found not guilty by reason of insanity and was committed indefinitely to a state mental hospital.[167]"
10/2/96,Philadelphia,Pennsylvania,urban,ES,2,,,Pah,
10/4/96,Playa del Rey,California,suburban,HS,1,,,Pah,
10/9/96,Sherwood,Arkansas,,-,1,0,,Wikp,"14-year-old Willis Ward Johnson, killed 20-year-old James Earl Routt, as they rode a school bus.[291]"
10/13/96,St. Louis,Missouri,urban,HS,1,,,Pah,
10/16/96,West Lafayette,Indiana,suburban,C,1,,,Pah,
11/27/96,Sacramento,California,urban,HS,1,,,Pah,
1/11/97,Brooklyn,New York,urban,HS,1,,,Pah,
1/27/97,West Palm Beach,Florida,urban,MS,1,,TRUE,Pah,
1/27/97,West Palm Beach,Florida,,MS,1,0,,Wikp,"14-year-old Conniston Middle School student, Tronneal Mangum, fatally shot 14-year-old classmate, John Pierre Kamel, just minutes before school started, over a $40 debt.[292]"
1/31/97,Tulsa,Oklahoma,urban,,1,,,Pah,
2/19/97,Bethel,Alaska,suburban,HS,2,,TRUE,Pah,
2/19/97,Bethel,Alaska,,HS,2,2,,Wikp,"Bethel Regional High School shooting: 16-year-old student, Evan Ramsey, killed Bethel Regional High School principal, Ron Edwards, and 15-year-old student, Joshua Palacios, and wounded two other students.[283][293]"
2/20/97,Jacksonville,Florida,urban,HS,1,,,Pah,
3/18/97,Detroit,Michigan,urban,HS,1,,,Pah,
10/1/97,Pearl,Mississippi,suburban,HS,3,,TRUE,Pah,
10/1/97,Pearl,Mississippi,,HS,3,7,,Wikp,"Pearl High School shooting: 16-year-old Luke Woodham, murdered his 50-year-old mother, Mary, at home before killing his ex-girlfriend, 16-year-old student, Christina Menefee, and 17-year-old student, Lydia Kaye Dew, then wounding seven others at Pearl High School.[283][294][295][296]"
10/14/97,Garland,Texas,urban,HS,1,,,Pah,
10/15/97,Palmetto,Florida,,MS,0,1,,Wikp,"After an argument between them the day before, 13-year-old Brandon Hartsoe took a .38 revolver from his mother's dresser drawer and shot 13-year-old Lincoln Middle School classmate, Trent Murray, in the back causing serious injury, then continued to fire three more shots in the general area of other students.[297] Hartsoe was sentenced in 1998 to serve until his 18th birthday. His probation was set to end in October 2009.[298]"
10/22/97,Norwalk,California,urban,HS,2,,,Pah,
11/13/97,Sacramento,California,urban,ES,1,,,Pah,
12/1/97,West Paducah,Kentucky,suburban,HS,3,,TRUE,Pah,
12/1/97,West Paducah,Kentucky,,HS,3,5,,Wikp,"Heath High School shooting: Three students were killed and five wounded by 14-year-old Michael Carneal, as they participated in a prayer circle. Carneal was sentenced to life in prison.[283]"
12/15/97,Stamps,Arkansas,rural,HS,2,,TRUE,Pah,
12/15/97,Stamps,Arkansas,,HS,0,2,,Wikp,"Concealed in a wooded area on school grounds, 14-year-old Joseph ""Colt"" Todd, wounded two students as they were entering Stamps High School.[283][299]"
2/25/98,Reed City,Michigan,rural,HS,1,,,Pah,
3/1/98,Philadelphia,Pennsylvania,,C,1,3,,Wikp,"At around 4:15 p.m., gunfire broke out as a crowd streamed from the Palestra after a high school championship basketball game near the University of Pennsylvania. A 22-year-old man was shot in the back and killed, and a student working at the fine arts building was shot in the leg.[300]"
3/24/98,Jonesboro,Arkansas,urban,MS,5,,,Pah,
3/24/98,Craighead County,Arkansas,,MS,5,10,,Wikp,"Westside Middle School shootings: 13-year-old Mitchell Johnson, and 11-year-old Andrew Golden, killed a teacher and four students, and wounded ten others, as Westside Middle School emptied during a fire alarm intentionally set off by Golden.[301][302]"
3/25/98,Coldwater,Michigan,suburban,HS,1,,,Pah,
3/30/98,Chapel Hill,North Carolina,urban,MS,0,,,Pah,
4/24/98,Edinboro,Pennsylvania,suburban,HS,1,,TRUE,Pah,
4/24/98,Edinboro,Pennsylvania,,MS,1,3,,Wikp,"Parker Middle School dance shooting: 14-year-old student, Andrew Wurst, fatally shot 48-year-old teacher, John Gillette, and wounded two students and another teacher at an 8th grade graduation dance. He is serving a thirty to sixty-year sentence in a prison for young offenders.[302][303]"
4/28/98,Pomona,California,urban,ES,2,,,Pah,
5/1/98,Buffalo,New York,urban,ES,1,,,Pah,
5/19/98,Fayetteville,Tennessee,suburban,HS,1,,TRUE,Pah,
5/19/98,Fayetteville,Tennessee,,HS,1,0,,Wikp,"18-year-old Jacob Lee Davis, shot 18-year-old Robert Creson, at Lincoln County High School in a dispute over a girl.[304] Davis received a life sentence on July 29, 1999.[305]"
5/21/98,Springfield,Oregon,urban,HS,4,,TRUE,Pah,
5/21/98,Rialto,California,urban,HS,1,,,Pah,
5/21/98,Springfield,Oregon,,HS,4,23,,Wikp,"Thurston High School shooting: After killing his parents at home, 15-year-old Kip Kinkel, drove to Thurston High School, where he killed two students and wounded 23 others.[302] After pleading guilty, he was sentenced to 111 years of prison.[306]"
5/27/98,Pasadena,California,urban,MS,0,,,Pah,
5/29/98,Fort Lauderdale,Florida,urban,HS,2,,,Pah,
6/15/98,Richmond,Virginia,urban,HS,0,,TRUE,Pah,
6/15/98,Richmond,Virginia,,HS,0,2,,Wikp,"14-year-old student, Quinshawn Brooker, wounded 45-year-old basketball coach and history teacher, Gregory Carter, and 74-year-old Head Start volunteer, Eloise Wilson, in the hallway of Armstrong High School.[302][307]"
9/4/98,San Bernardino,California,urban,C,2,,,Pah,
9/12/98,Glendale,California,urban,HS,0,,,Pah,
12/10/98,Detroit,Michigan,urban,C,1,,TRUE,Pah,
12/10/98,Detroit,Michigan,,C,1,0,,Wikp,"52-year-old Professor Andrzej Olbrot, was killed by 48-year-old graduate doctoral student, Wlodzimierz Dedecjusat, at Wayne State University.[308]"
1/8/99,Carollton,Georgia,suburban,HS,2,,TRUE,Pah,
1/8/99,Carrollton,Georgia,,HS,1,1,,Wikp,"15-year-old Andrea Garrett was found dead, and 17-year-old Jeff Miller seriously wounded in the girls' restroom at Central Carrollton County High School, after a suicide pact because Garrett's mother had previously forbidden her to see Miller.[309]"
1/21/99,North Richland Hills,Texas,urban,HS,1,,,Pah,
2/11/99,Elgin,Illinois,urban,HS,0,,,Pah,
4/16/99,Notus,Idaho,rural,HS,0,,TRUE,Pah,
4/16/99,Notus,Idaho,,HS,0,0,,Wikp,"15-year-old Shawn Cooper, fired two shots from a shotgun near the front desk at Notus Jr. Sr. High School. There were no serious injuries, but some students were close enough to the blast to be grazed by shrapnel from the tile floor. Cooper had been undergoing treatment for bipolar disorder.[310]"
4/20/99,Littleton,Colorado,suburban,HS,15,,TRUE,Pah,
4/20/99,Littleton,Colorado,,HS,15,21,,Wikp,"Columbine High School massacre: 18-year-old Eric Harris and 17-year-old Dylan Klebold, students at Columbine High School, killed twelve students and one teacher. They injured 21 additional people, and three more were injured while attempting to escape the school. The pair committed suicide at the end of the massacre. [302][311]"
4/23/99,Atlanta,Georgia,urban,MS,1,,,Pah,
5/20/99,Conyers,Georgia,suburban,HS,0,,TRUE,Pah,
5/20/99,Conyers,Georgia,,HS,0,6,,Wikp,"15-year-old student Thomas ""T.J."" Solomon Jr., wounded six students at Heritage High School. A 15-year-old girl was hospitalized in critical condition, and the other victims suffered from non-life-threatening injuries.[302] Solomon initially faced up to 351 years of prison if convicted of aggravated assault and other charges. In 2000 he was found guilty but mentally ill and was sentenced to forty years in prison and sixty-five years of probation.[312]"
8/25/99,Monticello,Georgia,suburban,HS,1,,,Pah,
9/7/99,Plano,Texas,urban,HS,1,,,Pah,
9/9/99,San Jose,California,urban,HS,1,,,Pah,
11/19/99,Deming,New Mexico,suburban,MS,0,,TRUE,Pah,
11/19/99,Deming,New Mexico,,MS,1,0,,Wikp,"13-year-old Victor Cordova Jr., fatally shot 13-year-old Deming Middle School schoolmate, Araceli Tena. Cordova said he had intended to commit suicide but was jostled by others and his gun moved.[302][313]"
12/6/99,Fort Gibson,Oklahoma,suburban,MS,0,,TRUE,Pah,
12/6/99,Fort Gibson,Oklahoma,,MS,0,6,,Wikp,"Before his middle school opened, 13-year-old Seth Trickey opened fire in the courtyard. While there were no fatalities, several students felt sparks from the bullets hitting the building walls. Five were injured, including a girl who was shot in the face.[302] Trickey brought the gun from home.[314]"
1/19/00,New Port Richey,Florida,suburban,HS,0,,,Pah,
2/29/00,Flint,Michigan,urban,ES,1,,TRUE,Pah,
2/29/00,Flint,Michigan,,ES,1,0,,Wikp,"Shooting of Kayla Rolland: At Buell Elementary School, 6-year-old Dedrick Owens fatally shot 6-year-old classmate Kayla Rolland. Owens has since been the youngest documented school shooter.[316]"
5/10/00,Sierra Vista,Arizona,urban,ES,2,,,Pah,
5/26/00,Lake Worth,Florida,suburban,MS,1,,TRUE,Pah,
5/26/00,Lake Worth,Florida,,MS,1,0,,Wikp,"13-year-old honor student, Nathaniel Brazill, was sent home for throwing water balloons, but returned to his Lake Worth Middle School with a family pistol. He fatally shot teacher Barry Grunow, a popular teacher, he was Brazill's favorite.[316][317]"
6/28/00,Seattle,Washington,urban,C,2,,,Pah,
7/26/00,Canton,Ohio,urban,HS,1,,,Pah,
8/28/00,Fayetteville,Arkansas,urban,C,2,,TRUE,Pah,
8/28/00,Fayetteville,Arkansas,,C,2,0,,Wikp,"36-year-old James Easton Kelly, a PhD candidate in Comparative Literature at University of Arkansas, killed 67-year-old Dr. John R. Locke, the English professor overseeing his coursework. Kelly had been dismissed from this PhD program for lack of progress toward his degree. Kelly shot Dr. Locke three times before committing suicide in the director's office, which had been isolated by campus police.[318]"
9/5/00,Bidwell,Ohio,suburban,ES,2,,,Pah,
9/26/00,New Orleans,Louisiana,urban,MS,0,,TRUE,Pah,
